true_label,seed,B07,B08,B13,B14,B15,B18,B27,B35,B37,B38,B39,B40,B41,B44,B46,B49,B50,B51,B52,B53,B55,B56,B57,B58,B_Other
B49,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0
B50,45,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0
B51,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,45,1,4,0,0,0,0,3
B52,45,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,27,0,0,0,0,0,0
B53,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,0,0,0,0,0
B55,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
B56,45,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,2
B57,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
B58,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,0
B_Other,45,0,0,0,1,0,0,0,1,0,0,0,4,2,0,0,0,32,0,0,0,0,2,0,1,19
B07,46,56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
B08,46,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B13,46,0,0,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B14,46,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B15,46,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B18,46,0,0,0,0,1,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B27,46,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B35,46,0,1,0,0,2,0,0,128,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
B37,46,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
B38,46,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B39,46,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B40,46,0,0,0,0,2,0,0,1,0,0,0,117,0,1,0,0,0,0,2,0,0,0,0,0,3
B41,46,0,0,0,0,0,0,0,0,1,0,0,2,16,0,0,1,0,0,0,0,0,0,0,0,0
B44,46,0,0,1,0,2,0,0,0,0,0,0,1,0,76,0,3,0,0,1,1,0,0,0,0,2
B46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
B49,46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0
B50,46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0
B51,46,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,49,1,3,0,0,0,0,0
B52,46,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,1,0,0,0,0,0
B53,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
B55,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,8
B56,46,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0
B57,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
B58,46,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,21,0
B_Other,46,0,0,1,0,1,0,0,0,0,0,8,0,4,0,0,0,34,0,0,0,0,0,0,0,11
